layer,geoid,topic,stratification,period,value
City or town,5538800,FDEWVAR,X4T2,2023-2024,12
City or town,5538800,FDEWVAR,NOT4,2023-2024,341
City or town,5538800,FDEWVAR,H,2023-2024,39
City or town,5538800,FDEWVAR,Q,2023-2024,34
City or town,5538800,FDEWVAR,W,2023-2024,232
City or town,5538800,FDEWVAR,UNK5,2023-2024,32
City or town,5538800,FDEWVAR,K41,2023-2024,1
City or town,5538800,FDEWVAR,X1S2,2023-2024,27
City or town,5538800,FDEWVAR,A,2023-2024,4
City or town,5538800,FDEWVAR,UNK7,2023-2024,29
City or town,5538800,FDEWVAR,X5T3,2023-2024,30
City or town,5538800,FDEWVAR,X6T3,2023-2024,32
City or town,5538800,FDEWVAR,X7T2,2023-2024,39
City or town,5538800,FDEWVAR,X8T2,2023-2024,33
City or town,5538800,FDEWVAR,X1012,2023-2024,22
City or town,5538800,FDEWVAR,X113,2023-2024,15
City or town,5538800,FDEWVAR,X1210,2023-2024,5
City or town,5538800,FDEWVAR,X9T3,2023-2024,29
City or town,5538800,FDEWVAR,KIN2,2023-2024,33
City or town,5539650,FDEWVAR,,2023-2024,167
City or town,5539650,FDEWVAR,Strat_Error,2023-2024,9352
City or town,5539650,FDEWVAR,SWD1,2023-2024,82
City or town,5539650,FDEWVAR,SWO1,2023-2024,85
City or town,5539650,FDEWVAR,ENG3,2023-2024,158
City or town,5539650,FDEWVAR,ECO1,2023-2024,70
City or town,5539650,FDEWVAR,NOT3,2023-2024,97
City or town,5539650,FDEWVAR,FEM3,2023-2024,23
City or town,5539650,FDEWVAR,MAL15,2023-2024,130
City or town,5539650,FDEWVAR,X2N2,2023-2024,3
City or town,5539650,FDEWVAR,X3R2,2023-2024,2
City or town,5539650,FDEWVAR,X4T2,2023-2024,6
City or town,5539650,FDEWVAR,KIN2,2023-2024,1
City or town,5539650,FDEWVAR,NOT4,2023-2024,167
City or town,5539650,FDEWVAR,H,2023-2024,18
City or town,5539650,FDEWVAR,W,2023-2024,131
City or town,5539650,FDEWVAR,X5T3,2023-2024,6
City or town,5539650,FDEWVAR,X6T3,2023-2024,4
City or town,5516500,FDEWVAR,,2023-2024,3
City or town,5516500,FDEWVAR,Strat_Error,2023-2024,168
City or town,5516500,FDEWVAR,SWD1,2023-2024,3
City or town,5516500,FDEWVAR,ENG3,2023-2024,3
City or town,5516500,FDEWVAR,ECO1,2023-2024,3
City or town,5516500,FDEWVAR,X1S2,2023-2024,2
City or town,5516500,FDEWVAR,X2N2,2023-2024,1
City or town,5516500,FDEWVAR,NOT4,2023-2024,3
City or town,5516500,FDEWVAR,Q,2023-2024,1
City or town,5516500,FDEWVAR,W,2023-2024,2
City or town,5539650,FDEWVAR,EL1,2023-2024,9
City or town,5539650,FDEWVAR,X7T2,2023-2024,23
City or town,5539650,FDEWVAR,X8T2,2023-2024,36
City or town,5539650,FDEWVAR,A,2023-2024,6
City or town,5539650,FDEWVAR,Q,2023-2024,8
City or town,5539650,FDEWVAR,UNK5,2023-2024,4
City or town,5539650,FDEWVAR,UNK7,2023-2024,14
City or town,5539650,FDEWVAR,X1012,2023-2024,19
City or town,5539650,FDEWVAR,X113,2023-2024,18
City or town,5539650,FDEWVAR,X1210,2023-2024,13
City or town,5539650,FDEWVAR,X9T3,2023-2024,36
City or town,5544950,FDEWVAR,,2023-2024,73
City or town,5544950,FDEWVAR,Strat_Error,2023-2024,4088
City or town,5544950,FDEWVAR,SWD1,2023-2024,33
City or town,5544950,FDEWVAR,SWO1,2023-2024,40
City or town,5544950,FDEWVAR,ECO1,2023-2024,38
City or town,5544950,FDEWVAR,NOT3,2023-2024,35
City or town,5544950,FDEWVAR,MAL15,2023-2024,60
City or town,5544950,FDEWVAR,X5T3,2023-2024,4
City or town,5544950,FDEWVAR,X6T3,2023-2024,12
City or town,5544950,FDEWVAR,NOT4,2023-2024,73
City or town,5544950,FDEWVAR,W,2023-2024,53
City or town,5544950,FDEWVAR,ENG3,2023-2024,54
City or town,5544950,FDEWVAR,FEM3,2023-2024,8
City or town,5544950,FDEWVAR,X1S2,2023-2024,3
City or town,5544950,FDEWVAR,X2N2,2023-2024,2
City or town,5544950,FDEWVAR,X3R2,2023-2024,3
City or town,5544950,FDEWVAR,X4T2,2023-2024,1
City or town,5544950,FDEWVAR,KIN2,2023-2024,1
City or town,5544950,FDEWVAR,B,2023-2024,4
City or town,5544950,FDEWVAR,H,2023-2024,7
City or town,5544950,FDEWVAR,Q,2023-2024,7
City or town,5544950,FDEWVAR,EL1,2023-2024,3
City or town,5544950,FDEWVAR,UNK7,2023-2024,5
City or town,5544950,FDEWVAR,X1012,2023-2024,6
City or town,5544950,FDEWVAR,X113,2023-2024,6
City or town,5544950,FDEWVAR,X1210,2023-2024,1
City or town,5544950,FDEWVAR,X9T3,2023-2024,8
City or town,5544950,FDEWVAR,UNK5,2023-2024,2
City or town,5544950,FDEWVAR,X7T2,2023-2024,15
City or town,5544950,FDEWVAR,X8T2,2023-2024,11
City or town,5550825,FDEWVAR,,2023-2024,495
City or town,5550825,FDEWVAR,Strat_Error,2023-2024,27720
City or town,5550825,FDEWVAR,SWD1,2023-2024,185
City or town,5550825,FDEWVAR,SWO1,2023-2024,310
City or town,5550825,FDEWVAR,EL1,2023-2024,28
City or town,5550825,FDEWVAR,ENG3,2023-2024,467
City or town,5550825,FDEWVAR,ECO1,2023-2024,418
City or town,5550825,FDEWVAR,NOT3,2023-2024,76
City or town,5550825,FDEWVAR,FEM3,2023-2024,189
City or town,5550825,FDEWVAR,MAL15,2023-2024,305
City or town,5550825,FDEWVAR,X1012,2023-2024,37
City or town,5550825,FDEWVAR,X113,2023-2024,21
City or town,5550825,FDEWVAR,X1210,2023-2024,7
City or town,5550825,FDEWVAR,X9T3,2023-2024,64
City or town,5550825,FDEWVAR,NOT4,2023-2024,495
City or town,5550825,FDEWVAR,B,2023-2024,94
City or town,5550825,FDEWVAR,H,2023-2024,82
City or town,5550825,FDEWVAR,Q,2023-2024,72
City or town,5550825,FDEWVAR,W,2023-2024,233
City or town,5550825,FDEWVAR,UNK5,2023-2024,12
City or town,5550825,FDEWVAR,X1S2,2023-2024,44
City or town,5550825,FDEWVAR,X2N2,2023-2024,35
City or town,5550825,FDEWVAR,X3R2,2023-2024,23
City or town,5550825,FDEWVAR,X4T2,2023-2024,34
City or town,5550825,FDEWVAR,X5T3,2023-2024,22
City or town,5550825,FDEWVAR,KIN2,2023-2024,17
City or town,5550825,FDEWVAR,UNK3,2023-2024,1
City or town,5550825,FDEWVAR,UNK7,2023-2024,1
City or town,5550825,FDEWVAR,X6T3,2023-2024,69
City or town,5550825,FDEWVAR,X7T2,2023-2024,54
City or town,5550825,FDEWVAR,X8T2,2023-2024,68
City or town,5550825,FDEWVAR,A,2023-2024,2
City or town,5555750,FDEWVAR,,2023-2024,524
City or town,5555750,FDEWVAR,Strat_Error,2023-2024,29344
City or town,5555750,FDEWVAR,SWD1,2023-2024,238
City or town,5555750,FDEWVAR,SWO1,2023-2024,286
City or town,5555750,FDEWVAR,ENG3,2023-2024,491
City or town,5555750,FDEWVAR,ECO1,2023-2024,402
City or town,5555750,FDEWVAR,NOT3,2023-2024,122
City or town,5555750,FDEWVAR,MAL15,2023-2024,376
City or town,5555750,FDEWVAR,X1S2,2023-2024,17
City or town,5555750,FDEWVAR,X2N2,2023-2024,20
City or town,5555750,FDEWVAR,KIN2,2023-2024,18
City or town,5555750,FDEWVAR,NOT4,2023-2024,524
City or town,5555750,FDEWVAR,Q,2023-2024,74
City or town,5555750,FDEWVAR,W,2023-2024,314
City or town,5555750,FDEWVAR,EL1,2023-2024,27
City or town,5555750,FDEWVAR,FEM3,2023-2024,148
City or town,5555750,FDEWVAR,X3R2,2023-2024,12
City or town,5555750,FDEWVAR,X4T2,2023-2024,27
City or town,5555750,FDEWVAR,H,2023-2024,77
City or town,5555750,FDEWVAR,UNK5,2023-2024,8
City or town,5555750,FDEWVAR,X1012,2023-2024,78
City or town,5555750,FDEWVAR,X113,2023-2024,45
City or town,5555750,FDEWVAR,X1210,2023-2024,16
City or town,5555750,FDEWVAR,X9T3,2023-2024,50
City or town,5555750,FDEWVAR,A,2023-2024,7
City or town,5555750,FDEWVAR,B,2023-2024,44
City or town,5555750,FDEWVAR,X5T3,2023-2024,49
City or town,5555750,FDEWVAR,X6T3,2023-2024,33
City or town,5555750,FDEWVAR,X7T2,2023-2024,83
City or town,5555750,FDEWVAR,X8T2,2023-2024,76
City or town,5556800,FDEWVAR,,2023-2024,15
City or town,5556800,FDEWVAR,Strat_Error,2023-2024,840
City or town,5556800,FDEWVAR,SWD1,2023-2024,5
City or town,5556800,FDEWVAR,SWO1,2023-2024,10
City or town,5556800,FDEWVAR,ENG3,2023-2024,13
City or town,5556800,FDEWVAR,ECO1,2023-2024,11
City or town,5556800,FDEWVAR,NOT3,2023-2024,4
City or town,5556800,FDEWVAR,MAL15,2023-2024,12
City or town,5556800,FDEWVAR,X8T2,2023-2024,2
City or town,5556800,FDEWVAR,NOT4,2023-2024,15
City or town,5556800,FDEWVAR,W,2023-2024,11
City or town,5556800,FDEWVAR,X2N2,2023-2024,1
City or town,5556800,FDEWVAR,X4T2,2023-2024,1
City or town,5556800,FDEWVAR,Q,2023-2024,1
City or town,5556800,FDEWVAR,EL1,2023-2024,2
City or town,5556800,FDEWVAR,FEM3,2023-2024,3
City or town,5556800,FDEWVAR,X1012,2023-2024,3
City or town,5556800,FDEWVAR,X113,2023-2024,3
City or town,5556800,FDEWVAR,X1210,2023-2024,1
City or town,5556800,FDEWVAR,X9T3,2023-2024,4
City or town,5556800,FDEWVAR,H,2023-2024,2
City or town,5556800,FDEWVAR,UNK5,2023-2024,1
City or town,5559875,FDEWVAR,,2023-2024,83
City or town,5559875,FDEWVAR,Strat_Error,2023-2024,4648
City or town,5559875,FDEWVAR,SWD1,2023-2024,43
City or town,5559875,FDEWVAR,ENG3,2023-2024,11
City or town,5559875,FDEWVAR,ECO1,2023-2024,38
City or town,5559875,FDEWVAR,NOT3,2023-2024,45
City or town,5559875,FDEWVAR,FEM3,2023-2024,23
City or town,5559875,FDEWVAR,MAL15,2023-2024,60
City or town,5559875,FDEWVAR,X3R2,2023-2024,2
City or town,5559875,FDEWVAR,X5T3,2023-2024,9
City or town,5559875,FDEWVAR,NOT4,2023-2024,83
City or town,5559875,FDEWVAR,H,2023-2024,3
City or town,5559875,FDEWVAR,W,2023-2024,71
City or town,5559875,FDEWVAR,SWO1,2023-2024,40
City or town,5559875,FDEWVAR,X1S2,2023-2024,12
City or town,5559875,FDEWVAR,KIN2,2023-2024,8
City or town,5559875,FDEWVAR,Q,2023-2024,3
City or town,5559875,FDEWVAR,UNK5,2023-2024,6
City or town,5559875,FDEWVAR,X1012,2023-2024,5
City or town,5559875,FDEWVAR,X113,2023-2024,5
City or town,5559875,FDEWVAR,X1210,2023-2024,10
City or town,5559875,FDEWVAR,X9T3,2023-2024,5
City or town,5559875,FDEWVAR,X6T3,2023-2024,10
City or town,5559875,FDEWVAR,X7T2,2023-2024,8
City or town,5559875,FDEWVAR,X8T2,2023-2024,9
City or town,5560500,FDEWVAR,,2023-2024,1246
City or town,5560500,FDEWVAR,Strat_Error,2023-2024,69776
City or town,5560500,FDEWVAR,SWD1,2023-2024,503
City or town,5560500,FDEWVAR,SWO1,2023-2024,743
City or town,5560500,FDEWVAR,ENG3,2023-2024,1183
City or town,5560500,FDEWVAR,ECO1,2023-2024,998
City or town,5560500,FDEWVAR,NOT3,2023-2024,248
City or town,5560500,FDEWVAR,FEM3,2023-2024,423
City or town,5560500,FDEWVAR,MAL15,2023-2024,684
City or town,5560500,FDEWVAR,X1S2,2023-2024,71
City or town,5560500,FDEWVAR,X2N2,2023-2024,62
City or town,5560500,FDEWVAR,X3R2,2023-2024,44
City or town,5560500,FDEWVAR,X4T2,2023-2024,65
City or town,5560500,FDEWVAR,X5T3,2023-2024,57
City or town,5560500,FDEWVAR,NOT4,2023-2024,1246
City or town,5560500,FDEWVAR,W,2023-2024,600
City or town,5560500,FDEWVAR,Q,2023-2024,203
City or town,5560500,FDEWVAR,UNK5,2023-2024,61
City or town,5560500,FDEWVAR,KIN2,2023-2024,42
City or town,5560500,FDEWVAR,B,2023-2024,255
City or town,5560500,FDEWVAR,H,2023-2024,112
City or town,5560500,FDEWVAR,EL1,2023-2024,26
City or town,5560500,FDEWVAR,X6T3,2023-2024,125
City or town,5560500,FDEWVAR,X7T2,2023-2024,158
City or town,5560500,FDEWVAR,X8T2,2023-2024,193
City or town,5560500,FDEWVAR,A,2023-2024,14
City or town,5560500,FDEWVAR,X1012,2023-2024,130
City or town,5560500,FDEWVAR,X113,2023-2024,97
City or town,5560500,FDEWVAR,X1210,2023-2024,63
City or town,5560500,FDEWVAR,X9T3,2023-2024,139
City or town,5560500,FDEWVAR,P,2023-2024,1
City or town,5560500,FDEWVAR,UNK7,2023-2024,139
City or town,5572725,FDEWVAR,,2023-2024,113
City or town,5572725,FDEWVAR,Strat_Error,2023-2024,6328
City or town,5572725,FDEWVAR,SWD1,2023-2024,56
City or town,5572725,FDEWVAR,SWO1,2023-2024,57
City or town,5572725,FDEWVAR,ECO1,2023-2024,88
City or town,5572725,FDEWVAR,NOT3,2023-2024,25
City or town,5572725,FDEWVAR,FEM3,2023-2024,19
City or town,5572725,FDEWVAR,MAL15,2023-2024,94
City or town,5572725,FDEWVAR,X1012,2023-2024,15
City or town,5572725,FDEWVAR,X113,2023-2024,10
City or town,5572725,FDEWVAR,X1210,2023-2024,2
City or town,5572725,FDEWVAR,X9T3,2023-2024,8
City or town,5572725,FDEWVAR,NOT4,2023-2024,113
City or town,5572725,FDEWVAR,P,2023-2024,24
City or town,5572725,FDEWVAR,H,2023-2024,16
City or town,5572725,FDEWVAR,Q,2023-2024,8
City or town,5572725,FDEWVAR,W,2023-2024,60
City or town,5507725,FDEWVAR,,2023-2024,2
City or town,5507725,FDEWVAR,Strat_Error,2023-2024,112
City or town,5507725,FDEWVAR,SWD1,2023-2024,2
City or town,5507725,FDEWVAR,NOT3,2023-2024,2
City or town,5507725,FDEWVAR,MAL15,2023-2024,2
City or town,5507725,FDEWVAR,X6T3,2023-2024,2
City or town,5507725,FDEWVAR,NOT4,2023-2024,2
City or town,5507725,FDEWVAR,W,2023-2024,2
City or town,5572725,FDEWVAR,X1S2,2023-2024,1
City or town,5572725,FDEWVAR,X2N2,2023-2024,5
City or town,5572725,FDEWVAR,X3R2,2023-2024,4
City or town,5572725,FDEWVAR,X4T2,2023-2024,3
City or town,5572725,FDEWVAR,X5T3,2023-2024,13
City or town,5572725,FDEWVAR,KIN2,2023-2024,1
City or town,5572725,FDEWVAR,UNK5,2023-2024,5
City or town,5572725,FDEWVAR,X6T3,2023-2024,13
City or town,5572725,FDEWVAR,X7T2,2023-2024,27
City or town,5572725,FDEWVAR,X8T2,2023-2024,11
City or town,5573625,FDEWVAR,,2023-2024,22
City or town,5573625,FDEWVAR,Strat_Error,2023-2024,1232
City or town,5573625,FDEWVAR,SWD1,2023-2024,8
City or town,5573625,FDEWVAR,SWO1,2023-2024,14
City or town,5573625,FDEWVAR,ENG3,2023-2024,22
City or town,5573625,FDEWVAR,ECO1,2023-2024,9
City or town,5573625,FDEWVAR,NOT3,2023-2024,13
City or town,5573625,FDEWVAR,FEM3,2023-2024,9
City or town,5573625,FDEWVAR,MAL15,2023-2024,13
City or town,5573625,FDEWVAR,X2N2,2023-2024,2
City or town,5573625,FDEWVAR,X3R2,2023-2024,4
City or town,5573625,FDEWVAR,X8T2,2023-2024,1
City or town,5573625,FDEWVAR,K41,2023-2024,1
City or town,5573625,FDEWVAR,UNK8,2023-2024,3
City or town,5573625,FDEWVAR,NOT4,2023-2024,22
City or town,5573625,FDEWVAR,W,2023-2024,19
City or town,5573625,FDEWVAR,UNK5,2023-2024,3
City or town,5573625,FDEWVAR,X1012,2023-2024,1
City or town,5573625,FDEWVAR,X113,2023-2024,9
City or town,5573625,FDEWVAR,X9T3,2023-2024,1
City or town,5577400,FDEWVAR,,2023-2024,2
City or town,5577400,FDEWVAR,Strat_Error,2023-2024,112
City or town,5577400,FDEWVAR,SWO1,2023-2024,2
City or town,5577400,FDEWVAR,ENG3,2023-2024,1
City or town,5577400,FDEWVAR,NOT3,2023-2024,1
City or town,5577400,FDEWVAR,MAL15,2023-2024,1
City or town,5577400,FDEWVAR,X3R2,2023-2024,1
City or town,5577400,FDEWVAR,NOT4,2023-2024,2
City or town,5577400,FDEWVAR,W,2023-2024,1
City or town,5577400,FDEWVAR,ECO1,2023-2024,1
City or town,5577400,FDEWVAR,FEM3,2023-2024,1
City or town,5577400,FDEWVAR,X113,2023-2024,1
City or town,5509725,FDEWVAR,,2023-2024,21
City or town,5509725,FDEWVAR,Strat_Error,2023-2024,1176
City or town,5509725,FDEWVAR,SWD1,2023-2024,12
City or town,5509725,FDEWVAR,ENG3,2023-2024,20
City or town,5509725,FDEWVAR,ECO1,2023-2024,16
City or town,5509725,FDEWVAR,MAL15,2023-2024,18
City or town,5509725,FDEWVAR,X2N2,2023-2024,3
City or town,5509725,FDEWVAR,NOT4,2023-2024,21
City or town,5509725,FDEWVAR,SWO1,2023-2024,9
City or town,5509725,FDEWVAR,NOT3,2023-2024,5
City or town,5509725,FDEWVAR,FEM3,2023-2024,3
City or town,5509725,FDEWVAR,X6T3,2023-2024,4
City or town,5509725,FDEWVAR,X7T2,2023-2024,1
City or town,5509725,FDEWVAR,W,2023-2024,14
City or town,5509725,FDEWVAR,EL1,2023-2024,1
City or town,5509725,FDEWVAR,X1012,2023-2024,3
City or town,5509725,FDEWVAR,X113,2023-2024,5
City or town,5509725,FDEWVAR,X9T3,2023-2024,5
City or town,5509725,FDEWVAR,H,2023-2024,3
City or town,5509725,FDEWVAR,Q,2023-2024,1
City or town,5587900,FDEWVAR,,2023-2024,12
City or town,5587900,FDEWVAR,Strat_Error,2023-2024,672
City or town,5587900,FDEWVAR,SWD1,2023-2024,5
City or town,5587900,FDEWVAR,SWO1,2023-2024,7
City or town,5587900,FDEWVAR,ECO1,2023-2024,10
City or town,5587900,FDEWVAR,NOT3,2023-2024,2
City or town,5587900,FDEWVAR,MAL15,2023-2024,9
City or town,5587900,FDEWVAR,X1012,2023-2024,4
City or town,5587900,FDEWVAR,X9T3,2023-2024,3
City or town,5587900,FDEWVAR,NOT4,2023-2024,12
City or town,5587900,FDEWVAR,H,2023-2024,1
City or town,5587900,FDEWVAR,W,2023-2024,11
City or town,5587900,FDEWVAR,FEM3,2023-2024,3
City or town,5587900,FDEWVAR,X6T3,2023-2024,1
City or town,5587900,FDEWVAR,X7T2,2023-2024,1
City or town,5587900,FDEWVAR,X8T2,2023-2024,3
